唉	āi	alas
相对	xiāngduì	Relative
相关	xiāngguān	correlate
相似	xiāngsì	Be similar
想念	xiǎngniàn	miss
想象	xiǎngxiàng	imagine
享受	xiǎngshòu	enjoy
项	xiàng	term
项链	xiàngliàn	Necklace
项目	xiàngmù	project
橡皮	xiàngpí	rubber
象棋	xiàngqí	Xiangqi
象征	xiàngzhēng	Symbolize
消费	xiāofèi	consumption
消化	xiāohuà	Digestion
消灭	xiāomiè	eliminate
消失	xiāoshī	disappear
销售	xiāoshòu	Sale
小吃	xiǎochī	snack
小伙子	xiǎohuǒzi	Young fellow
小麦	xiǎomài	Wheat
小气	xiǎoqi	Mean
小偷	xiǎotōu	Thief
效率	xiàolǜ	efficiency
孝顺	xiàoshun	Filial piety
歇	xiē	Rest
斜	xié	oblique
协调	xiétiáo	coordinate
心理	xīnlǐ	Psychology
心脏	xīnzàng	heart
欣赏	xīnshǎng	Appreciate
信封	xìnfēng	envelope
信号	xìnhào	signal
信息	xìnxī	information
行动	xíngdòng	Get some action
行人	xíngrén	pedestrian
行为	xíngwéi	behavior
形成	xíngchéng	formation
形容	xíngróng	describe
形式	xíngshì	form
形势	xíngshì	situation
形象	xíngxiàng	image
形状	xíngzhuàng	shape
性质	xìngzhì	Nature
幸亏	xìngkuī	Thanks
幸运	xìngyùn	lucky
胸	xiōng	chest
兄弟	xiōngdì	Brother
雄伟	xióngwěi	Magnificent
修改	xiūgǎi	modify
休闲	xiūxián	Leisure time
虚心	xūxīn	With an open mind, modest
叙述	xùshù	Narration
宣布	xuānbù	Announce
宣传	xuānchuán	Propaganda
选举	xuǎnjǔ	Election
学期	xuéqī	Semester
学术	xuéshù	learning
学问	xuéwen	knowledge
询问	xúnwèn	inquiry
寻找	xúnzhǎo	Seek, look for
训练	xùnliàn	training
迅速	xùnsù	rapid
延长	yáncháng	extend
严肃	yánsù	serious
宴会	yànhuì	banquet
阳台	yángtái	balcony
痒	yǎng	itch
样式	yàngshì	style
腰	yāo	waist
摇	yáo	shake
咬	yǎo	bite
要不	yàobù	Or
要是	yàoshi	If
夜	yè	night
液体	yètǐ	liquid
业务	yèwù	business
业余	yèyú	amateur
依然	yīrán	still
一辈子	yíbèizi	A lifetime
一旦	yídàn	once; in case
一路平安	yílùpíng’ān	Bon Voyage
一致	yízhì	Agreement
移动	yídòng	move
移民	yímín	immigrant
遗憾	yíhàn	pity
疑问	yíwèn	Doubt
以及	yǐjí	as well as
以来	yǐlái	Since
意外	yìwài	Accident
意义	yìyì	Significance
议论	yìlùn	Discussion
义务	yìwù	obligation
因而	yīn’ér	thus
因素	yīnsù	Factor
银	yín	silver
英俊	yīngjùn	Handsome and spirited
英雄	yīngxióng	Hero
迎接	yíngjiē	meet, welcome
营养	yíngyǎng	Nutrition
营业	yíngyè	Do business
影子	yǐngzi	shadow
硬币	yìngbì	Coin
硬件	yìngjiàn	Hardware
应付	yìngfu	cope with
应聘	yìngpìn	Apply for
应用	yìngyòng	application
拥抱	yōngbào	embrace
拥挤	yōngjǐ	Crowded
勇气	yǒngqì	courage
用途	yòngtú	purpose
优惠	yōuhuì	preferential; favorable
优美	yōuměi	Graceful
优势	yōushì	advantage
悠久	yōujiǔ	long
邮局	yóujú	Post Office
游览	yóulǎn	visit
犹豫	yóuyù	hesitate
油炸	yóuzhá	Fried
有利	yǒulì	favourable, beneficial
幼儿园	yòu’éryuán	Kindergarten
娱乐	yúlè	entertainment
与其	yǔqí	Rather than
语气	yǔqì	tone
宇宙	yǔzhòu	universe
预报	yùbào	prediction
预订	yùdìng	book; subscribe for
预防	yùfáng	Prevention
玉米	yùmǐ	Corn
元旦	uándàn	New year’s Day
缘故	yuángù	Reason
原料	yuánliào	raw material
原则	yuánzé	Principle
愿望	yuànwàng	desire, wish
晕	yūn	faint
运气	yùnqi	luck
运输	yùnshū	transport
运用	yùnyòng	Application
灾害	zāihài	disaster
再三	zàisān	repeatedly
赞成	zànchéng	Agreement
赞美	zànměi	Praise
糟糕	zāogāo	Too bad
造成	zàochéng	cause
则	zé	be
责备	zébèi	Reproach
摘	zhāi	pick
粘贴	zhāntiē	paste
展开	zhǎnkāi	Open
展览	zhǎnlǎn	exhibition
占线	zhànxiàn	(line) Busy
战争	zhànzhēng	War
涨	zhǎng	rise
掌握	zhǎngwò	master
账户	zhànghù	account
招待	zhāodài	Entertain
着凉	zháoliáng	get cold
召开	zhàokāi	convene
照常	zhàocháng	as usual
哲学	zhéxué	Philosophy
真理	zhēnlǐ	Truth
真实	zhēnshí	real
针对	zhēnduì	aim at
珍惜	zhēnxī	cherish
诊断	zhěnduàn	Diagnosis
枕头	zhěntou	Pillow
阵	zhèn	front
振动	zhèndòng	Vibration
睁	zhēng	open (eyes)
争论	zhēnglùn	debate
争取	zhēngqǔ	strive for
征求	zhēngqiú	ask for
整个	zhěnggè	Whole
整体	zhěngtǐ	Whole
正	zhèng	just
政策	zhèngcè	policy
政府	zhèngfǔ	government
政治	zhèngzhì	Politics
证件	zhèngjiàn	Certificates
证据	zhèngjù	evidence
挣钱	zhèngqián	Earn money
支	zhī	branch (measure word)
支票	zhīpiào	Check
直	zhí	straight
执行	zhíxíng	implement
执照	zhízhào	License
指导	zhǐdǎo	guidance
指挥	zhǐhuī	command
制定	zhìdìng	Formulate
制度	zhìdù	system
制作	zhìzuò	Make
智慧	zhìhuì	wisdom
至今	zhìjīn	so far
至于	zhìyú	As for
治疗	zhìliáo	Treatment
秩序	zhìxù	order
志愿者	zhìyuànzhě	Volunteer
钟	zhōng	clock
中介	zhōngjiè	intermediary
中心	zhōngxīn	core
中旬	zhōngxún	Mid
重	zhòng	heavy
重量	zhòngliàng	weight
周到	zhōudào	thoughtful
逐步	zhúbù	gradually
竹子	zhúzi	Bamboo
煮	zhǔ	cook
主持	zhǔchí	Host
主观	zhǔguān	subjective
主人	zhǔrén	master
主席	zhǔxí	Chairman
主张	zhǔzhāng	opinion
嘱咐	zhǔfù	Charge
祝福	zhùfú	blessing
注册	zhùcè	register
抓紧	zhuājǐn	Pay close attention to, grasp
专家	zhuānjiā	expert
专心	zhuānxīn	Attentively
转变	zhuǎnbiàn	change
转告	zhuǎngào	Tell, transmit
装	zhuāng	pretend
装饰	zhuāngshì	decorate
状况	zhuàngkuàng	status
状态	zhuàngtài	state
追求	zhuīqiú	Pursuit
资格	zīgé	Qualifications
资金	zījīn	capital
资料	zīliào	data
资源	zīyuán	Resources
姿势	zīshì	posture
咨询	zīxún	Consultation
紫	zǐ	purple
字幕	zìmù	Subtitle
自从	zìcóng	Since
自动	zìdòng	automatic
自豪	zìháo	Proud
自觉	zìjué	Conscious
自私	zìsī	selfish
自信	zìxìn	self-confidence
自由	zìyóu	free
自愿	zìyuàn	voluntarily
综合	zōnghé	comprehensive
宗教	zōngjiào	Religion
总裁	zǒngcái	CEO
总共	zǒnggòng	In total
总理	zǒnglǐ	prime minister
总算	zǒngsuàn	finally
总统	zǒngtǒng	President
总之	zǒngzhī	in short, in brief
组合	zǔhé	combination
祖国	zǔguó	Motherland
祖先	zǔxiān	Ancestors
阻止	zǔzhǐ	prevent
醉	zuì	drunk
最初	zuìchū	First, at the beginning
罪犯	zuìfàn	Criminal
尊敬	zūnjìng	respect
遵守	zūnshǒu	comply with
作品	zuòpǐn	works
作为	zuòwéi	As
作文	zuòwén	composition
